来源,运营商,产品名称,价格(月租),流量,通话时长,充值要求,地区限制,状态
欣网,电信,深圳电信39元205G+100分钟,39元,205G,100分钟,强充100,广东省内,下架
欣网,电信,深圳电信39元205G+100分钟,39元,205G,100分钟,强充100,省内,下架
欣网,电信,湖北电信39元185G,39元,185G,-,强充100无赠费,省内,下架
欣网,联通,深圳联通白银纯享版38元220G,38元,220G,-,首充100无赠费,仅深圳,3-11下架
欣网,广电,江西广电升卿卡29元192G,29元,192G,-,强充100无赠费,江西省内发货,3-17恢复
欣网,广电,江西广电双百套餐2.0MAX39元,39元,150G,150分钟,强充100,省内,3-17恢复
欣网,移动,重庆移动39元220G,39元,220G,-,充50送50,仅重庆,上架
欣网,移动,广东移动39元200G,39元,200G,-,首充50/100月返20,省内,2-12上架
欣网,联通,湖州联通39元150G+100分钟,39元,150G,100分钟,无存赠,省内,3-10上架
欣网,联通,杭州联通39元150G+100分钟,39元,150G,100分钟,无存赠,省内,3-2上架
欣网,联通,南京联通49元85G,49元,85G,-,无充送,仅南京,2-28恢复
欣网,联通,宁波联通39元150G+100分钟,39元,150G,100分钟,无存赠,省内,2-21上架
欣网,联通,深圳联通38元220G,38元,220G,-,首充100无赠费,省内,3-4上架
欣网,联通,深圳联通沃派数字人39元150G,39元,150G,100分钟,存100/月返10,省内,2-6上架
欣网,联通,昆明联通流量王峰卡49元185G,49元,185G,100分钟,无充送,省内,2-2上架
欣网,联通,湖北联通39元50G,39元,50G,-,无充送,省内,1-15上架
欣网,联通,安徽联通39元55G,39元,55G,-,无充送,省内,1-12上架
欣网,联通,安徽联通59元85G,59元,85G,-,无充送,省内,1-12上架
欣网,联通,湖南联通39元55G,39元,55G,-,无充送,省内,1-12上架
欣网,联通,湖南联通49元85G,49元,85G,-,无充送,省内,1-12上架
欣网,联通,集团联通39元50G,39元,50G,-,无充送,全国,1-12上架
天诺,电信,安徽电信辉安卡,39元,80G通用,200分钟,-,安徽,在售
天诺,电信,浙江电信乡音卡,29元,110G通用+30G定向,200分钟,-,浙江,在售
天诺,电信,广西电信欣欣卡,39元,175G通用+30G定向,300分钟,-,广西,在售
天诺,电信,广东电信小溪卡,30元,125G通用+60G定向,100分钟,-,广东,在售
天诺,电信,广州电信雾霾卡,39元,175G通用+30G定向,100分钟,-,广州,在售
天诺,电信,广州电信仓星卡,39元,170G通用+30G定向,200分钟,-,广州,在售
天诺,联通,收货地联通乐享卡2.0,39元,20G通用+30G定向,-,-,收货地,在售
天诺,联通,收货地联通凡腊卡,39元,20G通用+30G定向,-,-,收货地,在售
天诺,联通,收货地联通乐享卡,39元,20G通用+30G定向,0.1元/分钟,-,收货地,在售
天诺,联通,收货地联通绘艺卡,39元,20G通用+30G定向,100分钟,-,收货地,在售
天诺,联通,收货地联通倾心卡,19元,3G通用+10G定向,-,-,收货地,在售
天诺,联通,四川联通思江卡,29元,140G通用,0.15元/分钟,-,四川,在售
天诺,联通,江西联通福多多卡,39元,55G通用+30G省内定向,200分钟,-,江西,在售
众联,移动,广东移动59元200G（省内）,39元（优惠后）,200G,-,首充50/100,广东省内,在售
众联,移动,重庆移动39元220G（省内）,29元（优惠后）,220G,-,充50送50,重庆,在售
众联,移动,山东移动29元300G100分钟（省内）,29元,300G,100分钟,-,山东省内,在售
众联,移动,四川移动29.9元150G100分钟（省内）,29.9元,150G,100分钟,-,四川省内,在售
众联,移动,河北移动39元120G200分钟（省内）,39元,120G,200分钟,强充100,河北省内,在售
众联,电信,湖南电信39元50G（省内）,39元,50G,-,强充50无存送,湖南省内,在售
众联,电信,深圳电信39元205G100分钟（省内）,39元,205G,100分钟,强充100,深圳省内,在售
众联,电信,广西电信39元205G300分钟（省内）,39元,205G,300分钟,-,广西省内,在售
众联,联通,集团联通39元50G100分钟,39元,50G,100分钟,-,全国,在售
众联,联通,浙江联通59元150G100分钟（省内）,59元,150G,100分钟,-,浙江省内,在售
众联,联通,四川联通29元80G（省内）,29元,80G,-,-,四川省内,在售
众联,联通,广东联通38元220G（省内）,38元,220G,-,-,广东省内,在售
众联,联通,湖南联通29元80G100分钟（省内）,29元,80G,100分钟,-,湖南省内,在售
众联,联通,成都联通30.1元240G200分钟（省内）,30.1元,240G,200分钟,-,四川省内,在售
众联,联通,广西联通3元219G100分钟（省内）,3元,219G,100分钟,-,广西省内,在售
众联,联通,昆明联通49元185G100分钟（省内）,49元,185G,100分钟,-,云南省内,在售
众联,联通,南京联通39元90G50分钟,39元,90G,50分钟,-,只发南京,在售
众联,联通,重庆联通39元185G200分钟（省内）,39元,185G,200分钟,-,重庆省内,在售
众联,联通,陕西联通39元80G100分钟（省内）,39元,80G,100分钟,-,陕西省内,在售
众联,广电,广电29元192G,29元,192G,-,强充100,浙江湖南江西陕西广西,在售
众联,广电,广电28元350G200分钟,28元,350G,200分钟,强充100,浙江湖南江西陕西广西,在售
众联,广电,广电奔马卡39元60G,39元,60G,-,-,全国,在售
众联,广电,广州广电29元192G,29元,192G,-,-,仅广东,在售
